,Name,Season,Team,WAR
2767,Cody Anderson,2015,CLE,1.3
2768,Noe Ramirez,2015,BOS,0.4000000000000001
2769,Chris Reed,2015,MIA,0.0
2770,Carter Capps,2012,SEA,1.8
2771,Matt Wisler,2015,ATL,1.5999999999999996
2772,Mike Clevinger,2016,CLE,11.7
2773,Andrew Kittredge,2017,TBR,0.39999999999999997
2774,Matt Purke,2016,CHW,0.1
2775,Alex Meyer,2015,MIN,1.1
2776,Elvis Araujo,2015,PHI,0.4
2777,George Springer,2014,HOU,26.599999999999998
2778,Shawn Armstrong,2015,CLE,1.1
2779,Brian Goodwin,2016,WSN,2.8
2780,James McCann,2014,DET,3.5000000000000004
2781,Anthony Rendon,2013,WSN,35.4
2782,Matt Barnes,2014,BOS,3.5
2783,Andrew McKirahan,2015,ATL,0.1
2784,Danny Hultzen,2019,CHC,0.1
2785,Tony Zych,2015,SEA,1.0999999999999999
2786,Tyler Anderson,2016,COL,5.3999999999999995
2787,Alex Claudio,2014,TEX,3.4000000000000004
2788,Gregory Polanco,2014,PIT,7.1
2789,Ken Giles,2014,PHI,9.500000000000002
2790,Francisco Lindor,2015,CLE,29.2
2791,Dylan Bundy,2012,BAL,9.2
2792,Archie Bradley,2015,ARI,5.699999999999999
2793,Brandon Nimmo,2016,NYM,8.6
2794,Gabriel Ynoa,2016,NYM,0.4
2795,Phillip Evans,2017,NYM,0.4000000000000001
2796,Steve Selsky,2016,CIN,0.19999999999999998
2797,Roberto Gomez,2017,SFG,0.30000000000000004
2798,Joe Musgrove,2016,HOU,8.3
2799,Joe Ross,2015,WSN,4.6
2800,Mauricio Cabrera,2016,ATL,0.7
2801,Austin Hedges,2015,SDP,5.6000000000000005
2802,Javier Baez,2014,CHC,14.000000000000002
2803,Cam Gallagher,2017,KCR,0.9
2804,Jackie Bradley Jr.,2013,BOS,15.1
2805,Andrew Chafin,2014,ARI,4.1000000000000005
2806,Kelby Tomlinson,2015,SFG,1.7000000000000002
2807,John Andreoli,2018,- - -,0.0
2808,Tsuyoshi Wada,2014,CHC,1.0
2809,Munenori Kawasaki,2012,SEA,1.0999999999999999
2810,Hisashi Iwakuma,2012,SEA,12.0
2811,Anthony DeSclafani,2014,MIA,8.3
2812,Chris Colabello,2013,MIN,0.19999999999999996
2813,Teoscar Hernandez,2016,HOU,3.5
2814,Wei-Yin Chen,2012,BAL,10.7
2815,Yu Darvish,2012,TEX,24.7
2816,Nori Aoki,2012,MIL,9.700000000000001
2817,Yoenis Cespedes,2012,OAK,21.200000000000003
2818,Taylor Jungmann,2015,MIL,1.7
2819,Gerrit Cole,2013,PIT,30.900000000000002
2820,Mikie Mahtook,2015,TBR,1.2000000000000002
2821,Andrew Susac,2014,SFG,0.1999999999999999
2822,Derek Law,2016,SFG,1.0
2823,Henry Owens,2015,BOS,0.39999999999999997
2824,Josh Bell,2016,PIT,3.3000000000000003
2825,Jayson Aquino,2016,BAL,0.1
2826,Jose Briceno,2018,LAA,0.4
2827,Jorge Polanco,2014,MIN,7.999999999999999
2828,Nicky Delmonico,2017,CHW,5.551115123125783e-17
2829,Eduardo Rodriguez,2015,BOS,10.6
2830,Jed Bradley,2016,ATL,0.0
2831,Robel Garcia,2019,CHC,0.1
2832,Carson Smith,2014,SEA,2.5
2833,Blake Swihart,2015,BOS,0.5
2834,Kyle Crick,2017,SFG,0.5000000000000001
2835,Zach Davies,2015,MIL,8.9
2836,Orlando Arcia,2016,MIL,0.8999999999999995
2837,Adalberto Mejia,2016,MIN,1.3
2838,Jordan Weems,2020,OAK,0.1
2839,Joe Biagini,2016,TOR,1.5999999999999996
2840,Michael Fulmer,2016,DET,7.8
2841,Mike Zunino,2013,SEA,13.9
2842,Zach Vincej,2017,CIN,0.0
2843,Richie Shaffer,2015,TBR,0.30000000000000004
2844,Ross Stripling,2016,LAD,5.1
2845,Matt Carasiti,2016,COL,0.0
2846,Joey Rickard,2016,BAL,0.4
2847,Jesse Hahn,2014,SDP,4.000000000000001
2848,Daniel Coulombe,2014,LAD,0.19999999999999998
2849,Spencer Kieboom,2016,WSN,0.4
2850,Max Muncy,2015,OAK,9.700000000000001
2851,James Pazos,2015,NYY,0.49999999999999994
2852,Jake Lamb,2014,ARI,6.5
2853,Omar Narvaez,2016,CHW,4.9
2854,Adrian Sampson,2016,SEA,0.19999999999999998
2855,Luis Cessa,2016,NYY,0.6000000000000001
2856,Luke Maile,2015,TBR,1.3000000000000003
2857,Tyler Naquin,2016,CLE,3.3000000000000003
2858,Cam Bedrosian,2014,LAA,2.8
2859,Steven Matz,2015,NYM,6.3
2860,Stephen Piscotty,2015,STL,7.9
2861,Erik Gonzalez,2016,CLE,0.4
2862,Dylan Floro,2016,TBR,2.4
2863,Damien Magnifico,2016,MIL,0.0
2864,Sam Selman,2019,SFG,0.0
2865,Paco Rodriguez,2012,LAD,1.3
2866,Felix Pena,2016,CHC,2.5
2867,Andrew Toles,2016,LAD,1.8
2868,Christian Walker,2014,BAL,2.9000000000000004
2869,Drew VerHagen,2014,DET,0.39999999999999986
2870,Marcus Stroman,2014,TOR,15.700000000000001
2871,Pierce Johnson,2017,CHC,0.19999999999999998
2872,Mike Morin,2014,LAA,2.0999999999999996
2873,Taylor Rogers,2016,MIN,5.500000000000001
2874,Lucas Sims,2017,ATL,0.5000000000000001
2875,Daniel Norris,2014,TOR,6.100000000000001
2876,Connor Sadzeck,2018,TEX,0.1
2877,Sam Tuivailala,2014,STL,0.7
2878,Tom Murphy,2015,COL,3.4
2879,Jose Ramirez,2013,CLE,27.799999999999997
2880,Brandon Brennan,2019,SEA,0.1
2881,Matt Bowman,2016,STL,1.6
2882,Andrew Triggs,2016,OAK,1.5
2883,Blake Snell,2016,TBR,11.7
2884,Roman Quinn,2016,PHI,0.6
2885,Richard Rodriguez,2017,BAL,1.2000000000000002
2886,Alec Asher,2015,PHI,0.39999999999999997
2887,Steven Okert,2016,SFG,0.1
2888,Jesse Winker,2017,CIN,3.9
2889,Jose Peraza,2015,LAD,2.0
2890,Robert Stephenson,2016,CIN,1.1102230246251565e-16
2891,Patrick Wisdom,2018,STL,0.10000000000000003
2892,Chad Smith,2014,DET,0.1
2893,Carl Edwards Jr.,2015,CHC,2.8
2894,Mallex Smith,2016,ATL,4.300000000000001
2895,Mookie Betts,2014,BOS,40.199999999999996
2896,Ketel Marte,2015,SEA,12.0
2897,Jakob Junis,2017,KCR,3.7
2898,Carson Kelly,2016,STL,1.2
2899,Jeimer Candelario,2016,CHC,4.4
2900,Corey Seager,2015,LAD,20.1
2901,Josh D. Smith,2019,- - -,0.0
2902,Jharel Cotton,2016,OAK,0.6
2903,Terrance Gore,2014,KCR,0.7999999999999998
2904,Tyrone Taylor,2019,MIL,0.30000000000000004
2905,John Gant,2016,ATL,2.4
2906,Nick Goody,2015,NYY,0.10000000000000003
2907,Ryan Merritt,2016,CLE,0.8
2908,Sal Romano,2017,CIN,1.7000000000000002
2909,Robert Gsellman,2016,NYM,2.5000000000000004
2910,Jake Faria,2017,TBR,1.1
2911,Joey Krehbiel,2018,ARI,0.0
2912,Kyle Barraclough,2015,MIA,1.7000000000000004
2913,Christopher Bostick,2017,PIT,0.19999999999999998
2914,Jacob Stallings,2016,PIT,2.3
2915,Max Fried,2017,ATL,5.6
2916,David Dahl,2016,COL,2.8999999999999995
2917,Chris Taylor,2014,SEA,11.5
2918,Tyler Duffey,2015,MIN,4.800000000000001
2919,Chris Stratton,2016,SFG,2.1999999999999997
2920,Tim Cooney,2015,STL,0.5
2921,Dominic Leone,2014,SEA,1.2000000000000004
2922,Roberto Osuna,2015,TOR,8.8
2923,JT Chargois,2016,MIN,0.5
2924,Travis Jankowski,2015,SDP,1.8999999999999997
2925,Adalberto Mondesi,2016,KCR,5.8
2926,Zach Eflin,2016,PHI,5.299999999999999
2927,Adonis Garcia,2015,ATL,0.8999999999999998
2928,Daniel Stumpf,2016,PHI,0.3
2929,Alex Wood,2013,ATL,12.900000000000002
2930,Tyler Wagner,2015,MIL,0.4
2931,Matt Strahm,2016,KCR,3.1
2932,Austin Adams,2017,WSN,0.6
2933,Kevin Plawecki,2015,NYM,1.9000000000000001
2934,Alec Mills,2016,KCR,0.9
2935,Matt Duffy,2014,SFG,7.6000000000000005
2936,Joey Wendle,2016,OAK,5.699999999999999
2937,Anthony Bemboom,2019,- - -,0.2
2938,Devon Travis,2015,TOR,4.9
2939,Bruce Maxwell,2016,OAK,0.10000000000000003
2940,Ian Thomas,2014,ATL,0.4
2941,Mike Miller,2016,BOS,0.0
2942,Paul Sewald,2017,NYM,0.7999999999999999
2943,Tyler Heineman,2019,MIA,0.1
2944,Seth Mejias-Brean,2019,SDP,0.2
2945,Scott Oberg,2015,COL,2.4000000000000004
2946,Brent Suter,2016,MIL,4.2
2947,Ryan Dull,2015,OAK,0.8
2948,Raudel Lazo,2015,MIA,0.0
2949,Michael Wacha,2013,STL,10.0
2950,Michael Ynoa,2016,CHW,0.0
2951,Cesar Vargas,2016,SDP,0.0
2952,Rio Ruiz,2016,ATL,0.4
2953,Addison Russell,2015,CHC,9.4
2954,Kevin Gausman,2013,BAL,14.799999999999999
2955,Albert Almora Jr.,2016,CHC,2.0000000000000004
2956,Lance McCullers Jr.,2015,HOU,10.7
2957,Joey Gallo,2015,TEX,9.799999999999999
2958,Daniel Vogelbach,2016,SEA,1.1
2959,Greg Bird,2015,NYY,0.8
2960,Tim Lopes,2019,SEA,0.30000000000000004
2961,Daniel Robertson,2017,TBR,2.4000000000000004
2962,Chris Mazza,2019,NYM,0.4
2963,Byron Buxton,2015,MIN,8.799999999999999
2964,Carlos Correa,2015,HOU,19.400000000000002
2965,Jose Berrios,2016,MIN,11.0
2966,Kyle Zimmer,2019,KCR,0.4
2967,Shae Simmons,2014,ATL,0.30000000000000004
2968,Josh Hader,2017,MIL,6.2
2969,Jorge Soler,2014,CHC,5.999999999999999
2970,Yasiel Puig,2013,LAD,17.900000000000002
2971,Austin Maddox,2017,BOS,0.3
2972,Brian Johnson,2015,BOS,0.5
2973,Mitch Haniger,2016,ARI,8.4
2974,Jason Coats,2016,CHW,0.1
2975,Frankie Montas,2015,CHW,3.7
2976,Wilmer Difo,2015,WSN,1.2
2977,Joel Payamps,2019,ARI,0.0
2978,Dilson Herrera,2014,NYM,0.7
2979,Matt Olson,2016,OAK,10.200000000000001
2980,Caleb Frare,2018,CHW,0.1
2981,Ty Blach,2016,SFG,2.5999999999999996
2982,Tyler Glasnow,2016,PIT,4.3999999999999995
2983,Harold Ramirez,2019,MIA,0.30000000000000004
2984,Ronald Guzman,2018,TEX,0.3000000000000001
2985,Gerardo Concepcion,2016,CHC,0.1
2986,Kyuji Fujikawa,2013,CHC,0.1
2987,Hyun-Jin Ryu,2013,LAD,18.400000000000002
2988,Chris Smith,2017,TOR,0.0
2989,Adam Conley,2015,MIA,2.6
2990,Matt Ramsey,2019,LAA,0.0
2991,Jake Cave,2018,MIN,2.8
2992,Renato Nunez,2016,OAK,1.9999999999999998
2993,J.B. Wendelken,2016,OAK,1.1
2994,Dereck Rodriguez,2018,SFG,1.0999999999999999
2995,Pedro Severino,2015,WSN,0.7000000000000001
2996,Jose Leclerc,2016,TEX,4.5
2997,Jorge Lopez,2015,MIL,0.6
2998,Carlos Estevez,2016,COL,1.2
2999,Dakota Bacus,2020,WSN,0.0
3000,Anthony Santander,2017,BAL,1.4000000000000004
3001,Jose Ruiz,2017,SDP,0.0
3002,Nomar Mazara,2016,TEX,1.9
3003,Wyatt Mathisen,2020,ARI,0.2
3004,Max Moroff,2016,PIT,0.3
3005,Franmil Reyes,2018,SDP,2.8
3006,Franchy Cordero,2017,SDP,0.7000000000000001
3007,David Bote,2018,CHC,2.9
3008,James Hoyt,2016,HOU,0.6000000000000001
3009,Rowan Wick,2018,SDP,1.3
3010,Chi Chi Gonzalez,2015,TEX,0.2
3011,Jandel Gustave,2016,HOU,0.20000000000000004
3012,Luis Perdomo,2016,SDP,2.9999999999999996
3013,Harold Castro,2018,DET,0.30000000000000004
3014,Keone Kela,2015,TEX,3.9999999999999996
3015,Severino Gonzalez,2015,PHI,0.7
3016,Anthony Banda,2017,ARI,0.6000000000000001
3017,Edwin Diaz,2016,SEA,7.300000000000001
3018,Jamie Callahan,2017,NYM,0.2
3019,Manuel Margot,2016,SDP,4.8999999999999995
3020,Ty Buttrey,2018,LAA,2.1
3021,Brett Phillips,2017,MIL,2.3
3022,Phillip Ervin,2017,CIN,0.8
3023,Paul Blackburn,2017,OAK,0.9000000000000001
3024,Tyler Olson,2015,SEA,0.6
3025,Julio Urias,2016,LAD,4.699999999999999
3026,Emilio Pagan,2017,SEA,2.0999999999999996
3027,Luke Voit,2017,STL,5.8
3028,Kyle Farmer,2017,LAD,0.2
3029,Buck Farmer,2014,DET,0.6000000000000001
3030,JaCoby Jones,2016,DET,1.0
3031,Dylan Covey,2017,CHW,0.19999999999999996
3032,Michael Lorenzen,2015,CIN,4.0
3033,Mike Yastrzemski,2019,SFG,4.800000000000001
3034,Zack Godley,2015,ARI,5.0
3035,Caleb Smith,2017,NYY,2.4999999999999996
3036,Tony Kemp,2016,HOU,1.0999999999999999
3037,Taylor Williams,2017,MIL,0.5
3038,Jason Hursh,2016,ATL,0.0
3039,Jon Gray,2015,COL,12.7
3040,Ben Lively,2017,PHI,1.2
3041,Andrew Knapp,2017,PHI,0.6
3042,Johan Camargo,2017,ATL,3.7
3043,Jose Torres,2016,SDP,0.1
3044,Reyes Moronta,2017,SFG,1.9000000000000001
3045,Victor Caratini,2017,CHC,1.0999999999999996
3046,Tyler Webb,2017,- - -,0.09999999999999998
3047,Chad Kuhl,2016,PIT,3.4
3048,Giovanny Gallegos,2017,NYY,2.4000000000000004
3049,Scott Barlow,2018,KCR,1.7000000000000002
3050,Jairo Labourt,2017,DET,0.0
3051,Kyle Finnegan,2020,WSN,0.3
3052,Corey Knebel,2014,DET,4.1
3053,Alex Reyes,2016,STL,1.4
3054,Kyle Crockett,2014,CLE,0.8999999999999999
3055,German Marquez,2016,COL,13.4
3056,Tim Mayza,2017,TOR,0.5
3057,Lou Trivino,2018,OAK,1.1
3058,Austin Voth,2018,WSN,0.8
3059,Johnny Field,2018,- - -,0.0
3060,Yency Almonte,2018,COL,0.5
3061,Adam Engel,2017,CHW,0.8999999999999999
3062,Hunter Wood,2017,TBR,0.7
3063,Rob Zastryzny,2016,CHC,0.5
3064,Boog Powell,2017,- - -,0.3
3065,Ryan McMahon,2017,COL,0.7
3066,Hunter Dozier,2016,KCR,2.8000000000000003
3067,Jimmie Sherfy,2017,ARI,0.3
3068,Jordan Patterson,2016,COL,0.2
3069,Tim Locastro,2017,LAD,1.6
3070,Justin Topa,2020,MIL,0.2
3071,Trey Mancini,2016,BAL,5.500000000000001
3072,Ian Miller,2019,MIN,0.0
3073,Mitch Garver,2017,MIN,3.9999999999999996
3074,Luiz Gohara,2017,ATL,0.9
3075,Tim Anderson,2016,CHW,9.7
3076,Daniel Wright,2016,- - -,0.1
3077,Chad Pinder,2016,OAK,2.9
3078,Jake Bauers,2018,TBR,0.39999999999999997
3079,Adam Frazier,2016,PIT,6.199999999999999
3080,Aaron Slegers,2017,MIN,0.4
3081,Kevin McCarthy,2016,KCR,0.8
3082,Cole Sulser,2019,TBR,0.2
3083,Shane Carle,2017,COL,0.09999999999999998
3084,Keynan Middleton,2017,LAA,0.4
3085,Mike Tauchman,2017,COL,1.6999999999999997
3086,Garrett Cooper,2017,NYY,2.1
3087,Adam Cimber,2018,- - -,1.0999999999999999
3088,Austin Pruitt,2017,TBR,1.0
3089,Steven Brault,2016,PIT,3.1
3090,Steve Hathaway,2016,ARI,0.2
3091,Donnie Hart,2016,BAL,0.30000000000000004
3092,Jeff McNeil,2018,NYM,8.4
3093,Andrew Heaney,2014,MIA,6.000000000000001
3094,Kris Bryant,2015,CHC,28.4
3095,Matthew Boyd,2015,- - -,8.2
3096,Zack Weiss,2018,CIN,0.0
3097,Ryon Healy,2016,OAK,0.6000000000000001
3098,Mike Mayers,2016,STL,0.6
3099,Nick Pivetta,2017,PHI,3.8
3100,Ricardo Rodriguez,2017,TEX,0.0
3101,Hunter Renfroe,2016,SDP,3.9
3102,Marco Gonzales,2014,STL,9.5
3103,Lucas Giolito,2016,WSN,6.8
3104,Aristides Aquino,2018,CIN,0.9
3105,Victor Reyes,2018,DET,1.4000000000000004
3106,Antonio Senzatela,2017,COL,3.4
3107,Justin Williams,2018,TBR,0.0
3108,J.P. Crawford,2017,PHI,3.2
3109,Kohl Stewart,2018,MIN,0.2
3110,Hunter Harvey,2019,BAL,0.0
3111,Kendall Graveman,2014,TOR,3.4
3112,Amed Rosario,2017,NYM,4.499999999999999
3113,Jen-Ho Tseng,2017,CHC,0.0
3114,Eric Yardley,2019,SDP,0.2
3115,Tyler Rogers,2019,SFG,1.0
3116,Chad Green,2016,NYY,5.800000000000001
3117,Tyler White,2016,HOU,0.3000000000000001
3118,Dariel Alvarez,2015,BAL,0.2
3119,Mike Ford,2019,NYY,0.10000000000000006
3120,Nick Wittgren,2016,MIA,1.6
3121,Phillips Valdez,2019,TEX,0.0
3122,Willians Astudillo,2018,MIN,0.6
3123,Dan Slania,2017,SFG,0.0
3124,Aaron Judge,2016,NYY,18.7
3125,Dominic Smith,2017,NYM,1.5
3126,Billy McKinney,2018,- - -,0.1
3127,Yefry Ramirez,2018,BAL,0.19999999999999998
3128,Dalier Hinojosa,2015,- - -,0.4
3129,Austin Meadows,2018,- - -,4.1
3130,Reese McGuire,2018,TOR,0.9000000000000001
3131,Miguel Gonzalez,2014,PHI,0.0
3132,Jose Abreu,2014,CHW,20.5
3133,Rowdy Tellez,2018,TOR,1.0
3134,Luis Castillo,2017,CIN,10.0
3135,Jimmy Cordero,2018,WSN,0.3
3136,Tyler O'Neill,2018,STL,1.8
3137,Brad Keller,2018,KCR,6.1000000000000005
3138,Joe Jimenez,2017,DET,1.0
3139,Masahiro Tanaka,2014,NYY,18.900000000000002
3140,Rob Kaminsky,2020,STL,0.0
3141,Devin Williams,2019,MIL,1.4
3142,Johnny Davis,2019,TBR,0.0
3143,Paul Fry,2018,BAL,1.2
3144,Adam Plutko,2016,CLE,0.49999999999999994
3145,Wander Suero,2018,WSN,2.5
3146,Sean Manaea,2016,OAK,7.9
3147,Miguel Andujar,2017,NYY,1.5
3148,Fernando Romero,2018,MIN,0.6
3149,Luis Severino,2015,NYY,12.700000000000001
3150,Lewis Thorpe,2019,MIN,0.39999999999999997
3151,Victor Arano,2017,PHI,1.1
3152,Cody Ege,2016,- - -,0.0
3153,Aledmys Diaz,2016,STL,5.9
3154,Austin Nola,2019,SEA,3.2
3155,Ryne Stanek,2017,TBR,1.2999999999999998
3156,Clint Frazier,2017,NYY,1.0
3157,Willy Adames,2018,TBR,5.8
3158,Cody Bellinger,2017,LAD,16.6
3159,Odrisamer Despaigne,2014,SDP,0.6
3160,Stefan Crichton,2017,BAL,0.7
3161,Nick Burdi,2018,PIT,0.30000000000000004
3162,Edubray Ramos,2016,PHI,2.0
3163,Cy Sneed,2019,HOU,0.0
3164,Daniel Ponce de Leon,2018,STL,1.1
3165,Jordan Romano,2019,TOR,0.09999999999999998
3166,Chris Ellis,2019,KCR,0.0
3167,John Curtiss,2017,MIN,0.5
3168,Brandon Leibrandt,2020,MIA,0.0
3169,Carlos Rodon,2015,CHW,7.0
3170,Aaron Nola,2015,PHI,18.7
3171,Austin Slater,2017,SFG,2.3
3172,Eric Skoglund,2017,KCR,2.7755575615628914e-17
3173,Jace Fry,2017,CHW,1.2
3174,Brandon Woodruff,2017,MIL,7.1000000000000005
3175,Max Povse,2017,SEA,0.0
3176,Justin Anderson,2018,LAA,0.8
3177,Spencer Turnbull,2018,DET,4.699999999999999
3178,Brandon Finnegan,2014,KCR,0.2999999999999999
3179,J.D. Davis,2017,HOU,2.3
3180,Bradley Zimmer,2017,CLE,1.6
3181,Tejay Antone,2020,CIN,0.6
3182,Trea Turner,2015,WSN,17.1
3183,Kyle Freeland,2017,COL,6.799999999999999
3184,Aaron Bummer,2017,CHW,1.9000000000000001
3185,John Means,2018,BAL,3.5
3186,Alex Blandino,2018,CIN,0.19999999999999998
3187,Michael Hermosillo,2018,LAA,0.2
3188,Gerardo Reyes,2019,SDP,0.3
3189,Yairo Munoz,2018,STL,0.10000000000000003
3190,Gabriel Moya,2017,MIN,0.0
3191,Ryan Borucki,2018,TOR,1.7
3192,Tyler Mahle,2017,CIN,3.1999999999999997
3193,Oscar Mercado,2019,CLE,1.3
3194,Michael Conforto,2015,NYM,15.9
3195,Brad Wieck,2018,SDP,0.0
3196,Brian Navarreto,2020,MIA,0.0
3197,Reynaldo Lopez,2016,WSN,5.199999999999999
3198,Yonny Chirinos,2018,TBR,2.7
3199,Domingo Leyba,2019,ARI,0.2
3200,Victor Gonzalez,2020,LAD,0.6
3201,Blake Taylor,2020,HOU,0.0
3202,Chih-Wei Hu,2017,TBR,0.0
3203,Jordan Luplow,2017,PIT,2.3000000000000003
3204,Thairo Estrada,2019,NYY,0.0
3205,Scott Blewett,2020,KCR,0.1
3206,Foster Griffin,2020,KCR,0.1
3207,James Norwood,2018,CHC,0.2
3208,Jacob Nottingham,2018,MIL,0.5
3209,Luis Guillorme,2018,NYM,0.6000000000000001
3210,Trevor Oaks,2018,KCR,0.2
3211,Rhys Hoskins,2017,PHI,8.100000000000001
3212,Kyle Schwarber,2015,CHC,9.600000000000001
3213,Ryan Yarbrough,2018,TBR,4.6
3214,Matt Chapman,2017,OAK,16.9
3215,Dan Altavilla,2016,SEA,0.3
3216,Jordan Montgomery,2017,NYY,4.1
3217,Nick Gardewine,2017,TEX,0.0
3218,Ryan McBroom,2019,KCR,0.4
3219,Mauricio Dubon,2019,- - -,0.7
3220,Danny Jansen,2018,TOR,2.5
3221,Shed Long,2019,SEA,0.7
3222,Ozzie Albies,2017,ATL,10.799999999999999
3223,Austin Gomber,2018,STL,1.4
3224,Yandy Diaz,2017,CLE,3.0
3225,Jonathan Holder,2016,NYY,2.0
3226,Bryan Abreu,2019,HOU,0.1
3227,Luis Urias,2018,SDP,0.2
3228,Greg Allen,2017,CLE,0.0
3229,Ryan Thompson,2020,TBR,0.1
3230,Julian Merryweather,2020,TOR,0.5
3231,Brian O'Grady,2019,CIN,0.2
3232,Artie Lewicki,2017,DET,0.6
3233,Josh James,2018,HOU,0.6000000000000001
3234,Tim Hill,2018,KCR,1.0
3235,Locke St. John,2019,TEX,0.1
3236,John Nogowski,2020,STL,0.0
3237,Josh Fuentes,2019,COL,0.2
3238,Colin Moran,2016,HOU,1.1
3239,Luke Weaver,2016,STL,5.7
3240,Aramis Garcia,2018,SFG,0.19999999999999998
3241,Lane Thomas,2019,STL,0.39999999999999997
3242,Sean Newcomb,2017,ATL,2.6
3243,Chad Tromp,2020,SFG,0.0
3244,Eddy Alvarez,2020,MIA,0.0
3245,Trevor Williams,2016,PIT,5.3
3246,Daniel Mengden,2016,OAK,2.5
3247,Tyler Beede,2018,SFG,0.4
3248,Gleyber Torres,2018,NYY,5.8
3249,Trevor Hildenberger,2017,MIN,0.7000000000000001
3250,Rusney Castillo,2014,BOS,1.0
3251,Jefry Rodriguez,2018,WSN,0.19999999999999996
3252,Edmundo Sosa,2018,STL,0.0
3253,Alex Verdugo,2017,LAD,3.8
3254,Ariel Jurado,2018,TEX,1.3
3255,Sean Reid-Foley,2018,TOR,0.30000000000000004
3256,Pablo Lopez,2018,MIA,3.7
3257,Austin Davis,2018,PHI,0.0
3258,Jerry Vasto,2018,- - -,0.0
3259,Ramon Laureano,2018,OAK,7.3
3260,Raisel Iglesias,2015,CIN,7.6
3261,Osmer Morales,2018,LAA,0.0
3262,Domingo German,2017,NYY,2.8
3263,Chad Wallach,2017,CIN,0.49999999999999994
3264,Jose Castillo,2018,SDP,0.9
3265,Jung Ho Kang,2015,PIT,4.9
3266,Dinelson Lamet,2017,SDP,5.0
3267,Jalen Beeks,2018,- - -,0.9
3268,Yoan Moncada,2016,BOS,10.299999999999999
3269,Ranger Suarez,2018,PHI,0.30000000000000004
3270,Thomas Pannone,2018,TOR,0.2
3271,Justus Sheffield,2018,NYY,1.8
3272,Framber Valdez,2018,HOU,2.1
3273,Francis Martes,2017,HOU,0.2
3274,Michael Chavis,2019,BOS,0.0
3275,Willi Castro,2019,DET,1.2
3276,Rafael Devers,2017,BOS,8.2
3277,Edgar Santana,2017,PIT,0.7
3278,Josh Taylor,2019,BOS,0.7
3279,Brett Martin,2019,TEX,0.8
3280,David Paulino,2016,HOU,0.1
3281,Yermin Mercedes,2020,CHW,0.0
3282,Jeff Hoffman,2016,COL,0.30000000000000004
3283,Jonathan Hernandez,2019,TEX,0.6
3284,Heath Fillmyer,2018,KCR,0.19999999999999996
3285,Kelvin Gutierrez,2019,KCR,0.0
3286,Jack Flaherty,2017,STL,7.999999999999999
3287,Eloy Jimenez,2019,CHW,3.4000000000000004
3288,Genesis Cabrera,2019,STL,0.1
3289,Diego Castillo,2018,TBR,2.1
3290,Wei-Chieh Huang,2019,TEX,0.0
3291,Ariel Miranda,2016,- - -,0.1
3292,Taylor Ward,2018,LAA,0.30000000000000004
3293,Jonathan Brubaker,2020,PIT,0.7
3294,Jordan Yamamoto,2019,MIA,0.30000000000000004
3295,Tanner Scott,2017,BAL,1.1
3296,Mitch Keller,2019,PIT,1.0
3297,Cristian Javier,2020,HOU,0.5
3298,Tanner Rainey,2018,CIN,0.0
3299,Myles Straw,2018,HOU,0.7000000000000001
3300,Jeffrey Springs,2018,TEX,0.20000000000000004
3301,Alex Bregman,2016,HOU,21.5
3302,Rogelio Armenteros,2019,HOU,0.4
3303,Koda Glover,2016,WSN,0.5
3304,Kevin Newman,2018,PIT,1.0999999999999999
3305,Matt Beaty,2019,LAD,0.5
3306,Nabil Crismatt,2020,STL,0.0
3307,Evan Phillips,2018,- - -,0.0
3308,Tyler Alexander,2019,DET,0.9
3309,Max Schrock,2020,STL,0.0
3310,Drew Smith,2018,NYM,0.19999999999999998
3311,D.J. Stewart,2018,BAL,0.6000000000000001
3312,Jose Alvarado,2017,TBR,2.8
3313,Trey Wingenter,2018,SDP,0.7
3314,Dillon Tate,2019,BAL,0.3
3315,Daniel Zamora,2018,NYM,0.1
3316,Adbert Alzolay,2019,CHC,0.2
3317,Ian Gibaut,2019,- - -,0.0
3318,Andrew Benintendi,2016,BOS,8.5
3319,Ian Happ,2017,CHC,6.8
3320,Andrew Stevenson,2017,WSN,0.7
3321,Adonis Rosa,2019,NYY,0.0
3322,Trent Thornton,2019,TOR,2.2
3323,Sam Hilliard,2019,COL,0.8
3324,Peter Lambert,2019,COL,0.5
3325,Scott Kingery,2018,PHI,2.0999999999999996
3326,Ty France,2019,SDP,0.8
3327,Bobby Poyner,2018,BOS,0.2
3328,Tyler Stephenson,2020,CIN,0.3
3329,David Fletcher,2018,LAA,6.6
3330,Logan Webb,2019,SFG,1.2
3331,Peter Fairbanks,2019,- - -,0.6
3332,Triston McKenzie,2020,CLE,0.6
3333,John Bormann,2017,PIT,0.0
3334,Paul DeJong,2017,STL,11.1
3335,Tanner Anderson,2018,PIT,0.1
3336,Harrison Bader,2017,STL,6.6
3337,Jake Cronenworth,2020,SDP,1.4
3338,Dylan Moore,2019,SEA,1.7999999999999998
3339,Sam Haggerty,2019,NYM,0.30000000000000004
3340,Kyle Garlick,2019,LAD,0.0
3341,Phil Maton,2017,SDP,0.7999999999999999
3342,Cody Stashak,2019,MIN,0.8
3343,Anthony Misiewicz,2020,SEA,0.5
3344,Seth Brown,2019,OAK,0.6
3345,Art Warren,2019,SEA,0.1
3346,Brian Anderson,2017,MIA,7.799999999999999
3347,Tyler Kinley,2018,- - -,0.0
3348,Andrew Suarez,2018,SFG,0.5999999999999999
