,Name,Season,Team,WAR
120,Chris Singleton,1999,CHW,8.799999999999999
121,Rolando Arrojo,1998,TBD,8.3
122,Carlos Baerga,1990,CLE,15.699999999999996
123,Rafael Betancourt,2003,CLE,15.299999999999999
124,Kevin Brown,1996,TEX,0.7
125,John Burkett,1987,SFG,42.1
126,Frank Castillo,1991,CHC,18.099999999999998
127,Tony Clark,1995,DET,12.200000000000001
128,Johnny Damon,1995,KCR,44.6
129,Brian Daubach,1998,FLA,4.7
130,Juan Diaz,2002,BOS,0.1
131,Casey Fossum,2001,BOS,4.800000000000001
132,Rich Garces,1990,MIN,2.4
133,Nomar Garciaparra,1996,BOS,41.49999999999999
134,Wayne Gomes,1997,PHI,1.2000000000000002
135,Chris Haney,1991,MON,7.699999999999999
136,Rickey Henderson,1979,OAK,106.5
137,Dustin Hermanson,1995,SDP,12.1
138,Shea Hillenbrand,2001,BOS,3.0000000000000018
139,Sun-Woo Kim,2001,BOS,1.3999999999999997
140,Derek Lowe,1997,- - -,40.099999999999994
141,Pedro Martinez,1992,LAD,82.5
142,Lou Merloni,1998,BOS,2.4
143,Doug Mirabelli,1996,SFG,5.3999999999999995
144,Trot Nixon,1996,BOS,22.5
145,Jose Offerman,1990,LAD,14.0
146,Darren Oliver,1993,TEX,21.199999999999996
147,Antoan Richardson,2011,ATL,0.30000000000000004
148,Manny Ramirez,1993,CLE,66.50000000000001
149,Will Venable,2008,SDP,13.0
150,Rey Sanchez,1991,CHC,14.7
151,Dernell Stenson,2003,CIN,0.5
152,Ugueth Urbina,1995,MON,10.7
153,Jason Varitek,1997,BOS,21.4
154,Tim Wakefield,1992,PIT,26.9
155,Sandy Alomar Jr.,1988,SDP,13.3
156,Mark Buehrle,2000,CHW,51.300000000000004
157,Royce Clayton,1991,SFG,18.099999999999998
158,Joe Crede,2000,CHW,12.899999999999999
159,Ray Durham,1995,CHW,29.500000000000004
160,Keith Foulke,1997,SFG,12.299999999999999
161,Jon Garland,2000,CHW,21.599999999999998
162,Matt Ginter,2000,CHW,1.0999999999999996
163,Gary Glover,1999,TOR,2.1
164,Tony Graffanino,1996,ATL,12.300000000000002
165,Willie Harris,2001,BAL,3.5000000000000004
