"Name","Team","WAR","playerid"
"Henry Benn","CLE","0.0","1000848"
"Sid Benton","STL","0.0","1000858"
"Joe Bernard","STL","0.0","1000888"
"Walter Bernhardt","NYY","0.0","1000893"
"Lena Blackburne","CHW","0.0","1001020"
"Elmer Bliss","NYH","0.1","1001074"
"Terry Blocker","ATL","0.0","1001079"
"Bill Boyd","BKA","0.0","1001274"
"Bill Bradley","CLE","0.0","1001304"
"Bill Brady","BSN","0.0","1001322"
"Al Braithwood","PRB","0.1","1001337"
"John Braun","MIL","0.0","1001365"
"Alan Brice","CHW","0.0","1001413"
"Joe Brown","CHW","0.0","1001531"
"Tom Burns","CHI","0.0","1001720"
"Sal Butera","- - -","0.0","1001765"
"Jack Cameron","BSN","-0.1","1001859"
"John Campbell","WAS","0.0","1001884"
"John Cangelosi","- - -","0.0","1001913"
"Chet Carmichael","CIN","-0.1","1001970"
"Lew Carpenter","WAS","-0.1","1001980"
"Rick Cerone","NYY","0.0","1002105"
"Bill Chambers","STL","0.0","1002117"
"Hal Chase","NYH","0.0","1002163"
"Nestor Chavez","SFG","0.0","1002169"
"Mitch Chetkovich","PHI","-0.1","1002181"
"Bill Clowers","BOS","0.0","1002364"
"Rocky Colavito","- - -","-0.1","1002404"
"Orth Collins","WAS","0.0","1002458"
"Dave Concepcion","CIN","0.0","1002494"
"Jerry Conway","WAS","0.0","1002554"
"Pat Cooper","PHA","0.0","1002599"
"Jack Corcoran","BRO","0.0","1002616"
"Ed Coughlin","BUF","0.0","1002670"
"Bill Cramer","CIN","0.1","1002725"
"Todd Cruz","BAL","0.0","1002844"
"John Dagenhard","BSN","0.1","1002921"
"Art Daney","PHA","0.0","1002965"
"Doug Dascenzo","CHC","0.0","1002998"
"Chili Davis","CAL","0.0","1003041"
"Rex Dawson","WAS","0.0","1003093"
"Fred Demarais","CHI","0.0","1003189"
"George Dickerson","CLE","0.0","1003273"
"Tom Dougherty","CHW","0.0","1003431"
"Skip Dowd","PIT","-0.1","1003441"
"Ben Dyer","DET","0.0","1003612"
"Bill Earley","STL","0.0","1003628"
"Jake Eisenhart","CIN","0.0","1003718"
"George Ellison","CLE","0.0","1003748"
"Alvaro Espinoza","NYY","0.0","1003828"
"Oscar Estrada","SLB","0.0","1003844"
"Clay Fauver","LOU","0.1","1003962"
"Charlie Ferguson","CHI","-0.1","1003988"
"Jocko Fields","PIT","0.0","1004029"
"Ed Fisher","DET","0.0","1004084"
"Tom Fisher","BAL","0.0","1004099"
"Tom Fletcher","DET","0.0","1004156"
"Dickie Flowers","TRO","0.0","1004174"
"Lew Fonseca","CHW","0.0","1004205"
"Jack Fournier","STL","0.0","1004264"
"Terry Francona","MIL","0.0","1004292"
"Bill Froats","DET","0.0","1004370"
"Nemo Gaines","WAS","0.0","1004435"
"Jim Gantner","MIL","0.0","1004483"
"Art Gardiner","PHI","0.0","1004515"
"Joe Gedeon","WAS","0.0","1004591"
"George Gick","CHW","0.1","1004676"
